name,designation,speciality,location,fee
Dr. Yousaf Hayat Durrani,N/A,Skin Specialists | Dermatologists,"Said Anwar Medical                 Railway Rd, Peshawar.Mon to Fri 4.00 PM to 7.00 PM  Railway Rd , Peshawar",
Dr Faridullah Khan,N/A,Cardiologists,"Shifa International Hospitals Ltd.                Pitras Bukhari Rd, Islamabad.  Pitras Bukhari Rd , Rawalpindi",
Dr LUBNA ZUBAIR ALAM,N/A,Skin Specialists | Dermatologists,"20/A, Al-Mustafa Homes, Unit No 9, Latifabad, Hyderabad.  Latifabad , Hyderabad",
Dr. Nouman Saleem,N/A,Dentist,"Orthodontic & Cosmetic Clinic                Rajan Plaza, 2-E, Behind shell, Pump, F-10 Markaz, Islamabad.  F-10 , Islamabad",
Abida Jamil,N/A,General Practitioner,N/A,N/A
Dr. Aamir Bilal,N/A,Cardiologists,"AAMIR BILAL CLINIC                 ROOM C 34 C 57 3RD FLOOR KHYBER MEDICAL CENTRE DABGARI GARDENS PESHAWAR.  DABGARI  , Peshawar",
Dr. Waheed Ullah Khan,N/A,Dentist,"The Dental Consultant                Moon Plaza, Airport Road, Opposite Askari 10, Rawalpindi.  Askari 10 , Islamabad",
Dr. Muhammad Nazeef Shah,Ent Surgeon,Dentist,"Nazeef Dental Clinic                Shop # 19-20, 7-B Block, Warriach Plaza, F-10 Markaz, Islamabad.   F-10 Markaz , Islamabad",
Prof. Dr. Shah Muhammad Wazir,Assistant Professor,Skin Specialists | Dermatologists,"Akbar Medical Centre                Dabgari Garden, Peshawar.  Dabgari Garden , Peshawar",
Dr Rahat Najam Qureshi,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Consulting Clinic, Stadium Road, Karachi.  Stadium Road , karachi",
Dr. Jamshed Alam,N/A,Medical Specialist,"Citi Clinic                2660, Hall Chowk, Saddar, Rawalpindi.  Saddar , Rawalpindi",
Dr Azam Jah Samdani,N/A,Skin Specialists | Dermatologists,"The Aga Khan Hospital                 JHS Building - Ground Floor, Karachi.   Stadium Rd , karachi",
Dr Azra Batool,N/A,Gynecologists,"Shifa International Hospital                Sector H-8/4, Islamabad.   H-8 , Islamabad",
Dr Amna Subhan Butt,N/A,Gastroenterology,"The Aga Khan University Hospital                Consulting Clinics (JHS Building -Second Floor), Stadium Road, Karachi.  Stadium Road , karachi",
Dr Nadir Anjum,Physiotherapist,Physiotherapist,"Ali Medical Centre                Kohistan Road  F8 Markaz  , Islamabad",
Dr. Adnan Aslam,N/A,Dentist,"Quaid-e-Azam International Hospital                Oral & MaxillofacialSurgery Department Near Golra Mor, Adjacent Froebels International School, Rawalpindi.  Near Golra Mor , Rawalpindi",
Dr. Qaiser Omer,N/A,Dentist,"Margalla Dental Hospital                Operative Dentistry Department,Quaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.  Gulrez Phase III , Rawalpindi",
Dr. Shaheen Shaheen Wasti,N/A,General Practitioner,"AHL Clinic                AHL Nae Abadi Morga Mor, Rawalpindi.  Morga Mor , Rawalpindi",
Dr. Tariq Mehmood,N/A,Skin Specialists | Dermatologists,"Raazi Hospital                Satellite Town, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Muhammad Musharraf,N/A,Cardiologists,"National Medical Centre                 A-5/A, National Highway,,Near Kala Pul,, Korangi Road, Karachi.  DHA , karachi",
Dr Maryam Malik,N/A,Gynecologists,"Ammar Medical Complex                8-Haroon Shah Scheme, Main Jail Road, Lahore  Main Jail Road , Lahore",
Dr. Farah Aamir,N/A,Skin Specialists | Dermatologists,"Contact Skin Laser and Liposuction Center                48-C-2, Ghalib Road, Gulberg III, Lahore.  Gulberg III , Lahore",
Dr. Faryal Azhar,N/A,General Surgeon,"Maryam Memorial Hospital                Surgery Department, Peshawar Road, Rawalpindi.   Peshawar Road , Rawalpindi",
Dr.Muhammad Amir,N/A,Plastic & Aesthetic Surgeon,N/A,N/A
Dr Aysha Habib Khan,N/A,Endocrinologist,"The Aga Khan University Hospital                 CC Nazerali Walji-1, Karachi.  Stadium Road , karachi",
Dr Mona Aziz,N/A,Hematologist,"276-H2 johar town , Aziz haematology Clinic.  Johar Town , Lahore",
Dr Wajeehuddin,N/A,Paediatric,N/A,N/A
Dr Tayyaba Imran,N/A,Gynecologists,"Ittefaq Hospital                Near H- Block, Model Town, Lahore  Model Town , Lahore",
Dr. Shahina Azam,N/A,Urologists,"Quaid-e-Azam International Hospital                Near Golra Mor, Adjacent Forebels School, Peshawar Road, Islamabad.  Near Golra Mor , Islamabad",
Dr. Umer shah,N/A,General Surgeon,"apple                   , karachi",Fee: Rs 500
Dr. Waqas Anwar,N/A,Child Specialist,"Quaid-e-Azam International Hospital                Near Golra Mor, Adjacent Forebels School, Peshawar Road, Islamabad.  Near Golra Mor , Islamabad",
Dr. Sohail Aslam,Department of Cardiovascular Surgery,Cardiologists,N/A,N/A
Dr Naeem Zafar,N/A,Pediatricians,"Gulberg Hospital                6 - A / K  Gulberg - ll , Lahore",Fee: Rs 1000
Dr Pervaiz Iqbal,N/A,Skin Specialists | Dermatologists,"47- Soldier Bazar, Saddar Hyderabad.  Saddar , Hyderabad",
Dr Shamim Ara,N/A,Skin Specialists | Dermatologists,"Nadeem Medical Center                Gulshan-e-Iqbal, Karachi.  Gulshan-e-Iqbal , karachi",
Dr. Awais Amjad Malik,N/A,Surgical Oncology,"Surgical Oncology                436 Block D2, Johar Town, Lahore, Pakistan.  Horizon Hospital , Lahore",Fee: Rs 2000
Dr. Alia Rasheed,N/A,Anesthesia,"Farooq Hospital                2-Asif Block. Main Boulevard   , Lahore",Fee: Rs 1500
DR Muhammad Saleem,N/A,Skin Specialists | Dermatologists,"Omar Hospital                Jail Road, Lahore Pakistan.  Jail Road , Lahore",
Dr Riaz A. Sheikh,N/A,Skin Specialists | Dermatologists,"Shifa Medical Center                 Savoy Arcade (Next to Standard Chartered Bank),F-11 Markaz, Islamabad  F-11  , Islamabad",
Dr. Uzma Batool,N/A,Gynecologists,"Citi Hospital                  Bahria Town  , Lahore",Fee: Rs 1000
Dr.,N/A,Orthopaedics,"Shaukat khanum hospital                Shaukat khanum hospital   , Lahore",Fee: Rs 2000
Dr. Neurosurgeon,N/A,Neurosurgeon Consultant/Specialist,"Shalimar Hospital                   , Lahore",Fee: Rs 1000
Dr. Muhammad Ayaz Mir,N/A,Hematologist,"Shifa International Hospitals Ltd                Pitras Bukhari Road H-8/4, Islamabad.  H-8/4 , Islamabad",
Dr. Muhammad Yaqub Kazi,N/A,Pediatrician,"Kazi Hospital                21 Temple Road   , Lahore",Fee: Rs 2000
"Dr. Saher 	Zulfikar",N/A,Physiotherapist,"KKT International Orthopedic Spine Center                Bungalow # D-92/I, Adjacent Lane Russian Embassy, Block-4, Clifton, Karachi.  Clifton , karachi",Fee: Rs 1500
Dr. Amer,N/A,Dental surgeon,"Dar Al Shifa Medical & Dental Center                Mezzanine Floor, Plot No.16-C, Commercial Avenue, Khayaban-e-Sehar, Commercial lane 4,   Khayaban-e-Sehar , karachi",
DR ALI ZULQERNAIN,LT COL (R),Psychiatrist,", Sargodha",
Dr Raees Ahsan Mushtaq,Consultant Diabetologist & Endocrinologist,Diabetologists,"Tanwir Ahmed Medical Complex                MM Alam Road Gullberg 3 adjacent to Ziafat Restaurant,Lahore.  Gullberg 3  , Lahore",
Professor  Dr. Fauzia Monnoo Khan,N/A,Gynecologists,"LAHORE HEALTH CARE                194-1 Y DHA Block Lahore.  DHA  , Lahore",
Dr. Ashfaq A. Razzaq,N/A,Neurosurgery and Spine,"The Spine Center                www.thespinecenter.com.pk  South City Hospital , karachi",Fee: Rs 2500
Dr farooq haider qaisrani,Child specialist in multan,Child Specialist,"QMC-Qaisrani medical centre                Jail road ;MDA Chowk Multan   , Multan",
Dr. Raana Anwar,N/A,Obstetrics and gynaecology,"Syed medical complex                Opp.govt islamia jinnah college  Lalazar Chowk ,",Fee: Rs 500
Dr. Masud ur Rehman Kiani,N/A,Cardiologists,"Heart international                610, Peshawar Road, Saddar, Islamabad/Rawalpindi.  Saddar , Rawalpindi",
Dr. Asif Nadeem,Consultant Cardiothoracic Surgery,Cardiologists,"Armed Forces Institute of Cardiology                Peshawar Rd, Rawalpindi.  Peshawar Rd , Rawalpindi",
Dr. Anokhi Khanum,N/A,Pediatricians,"Apple Tree Pediatrics                1-E, Zamzama Commercial Lane 9, Phase 5, DHA  Zamzama , karachi",
Dr. Mahmood S Choudhery,N/A,"Stem Cells, Regenerative Medicine","CellKine Technologies                Wilcare Hospital, 4-% Model town Extension  4-5 Model town Extension , Lahore",Fee: Rs 10000
Dr Farhat Parveen Malik,N/A,Gynecologists,"The Surgical Centre                52-Wes Waheed Plaza, Blue Area, Islamabad.  Blue Area , Islamabad",
Dr. Aamir Rafique,N/A,Skin Specialists | Dermatologists,"Dr.Aamir's Skin & Hair clinic                Rafique ArcadeOld G.T.Road, JhelumPakistan.  Rafique Arcade , Jhelum",
Dr E S Umer Khitab,N/A,Gynecologists,"Valley Clinic                3-11-A/6, Peshawar Road, Rawalpindi.  Peshawar Road , Rawalpindi",
Dr Khusro Sultana,N/A,Gynecologists,"Liaquat National Hospital                National Stadium Rd, Karachi.  Stadium Road , karachi",
Dr. Asif Zia Akhter,N/A,Gynecologists,"Dr Ziauddin Hospital                  4/B, Shahrah-e-Ghalib, Block 6, Clifton, Karachi.  Clifton , karachi",
Dr Naeem Ahmed,N/A,Urologists,"Fidai Consulting Clinic & Surgery Centre                Rehmat Square, Block 7, F. B. Area, Karachi.  Federal B Area , karachi",
Dr Ghazanfar Ilahi,N/A,Skin Specialists | Dermatologists,"Shalamar Hospital                 Shalimar Link Road, Moghalpura, Lahore.  Moghalpura , Lahore",
Dr. Asad Pathan,N/A,Cardiologists,"D.H.A Medical Center                 P-38 / A, 10th Street, Khayaban-e-Rahat, Street # 10, Phase-VI, DHA Karachi.  DHA , karachi",
Dr. Saeed Akhter,N/A,ENT Specialist,"National Medical Centre                A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.  DHA  , karachi",
Dr Bilqees Fatima,N/A,Gynecologists,"Fatima Memorial Hospital                Shadman, Lahore.  Shadman , Lahore",
Dr. Samiullah Assistant Professor,N/A,Skin Specialists | Dermatologists,"Ali Medical Center                Hospital Rd, Peshawar.  Hospital Rd , Peshawar",
Dr Salal Ahmed,N/A,Diabetologists,"Liaquat National Hospital                National Stadium Rd, Karachi.  Stadium Rd , karachi",
Dr Farkhanda Naheed Bhatti,N/A,Gynecologists,"Margalla Welfare Hospital, Pirwadhai.  Pirwadhai , Rawalpindi",
Dr Jamal Abdul Nasir,N/A,Cardiologists,"Ittefaq Hospital (Trust)                Near H Block, Model Town,Lahore.  Model Town , Lahore",
Dr Syed Imran Ahmad,N/A,Cardiologists,"Ziauddin Hospital                 4/B, Shahrah-e-Ghalib, Block 6, Clifton, Karachi.  Clifton , karachi",
Dr. Humera Mushtaq,N/A,Gynecologists,"Baqai Hospital                111-B, 1/8, Nazimabad no 3, Karachi.  Nazimabad No 3 , karachi",
Dr. Abubakar Sheikh,N/A,Cardiologists,"Aga Khan University Hospital                CC Nazerali Walji-2, Karachi.   Walji-2 , karachi",
Dr Nasir Sulaiman,N/A,Urologists,"AKUH Consulting Clinic                AKUH Consulting Clinic, Stadium Road.  Stadium Road , karachi",
Dr Shakira Parveen,N/A,Gynecologists,"Usman Memorial Hospital                St. 12, Block-1, Federal B Area, Karachi.	  Federal B Area , karachi",
Dr SAJIDA MUNIR SIDDIQUE,N/A,Gynecologists,"B-19, C.D.F, Hospital, Hyderabad.  Cmh Road , Hyderabad",
Dr Syed Saeed Abidi,N/A,Urologists,"Abbasi Shaheed Hospital                Nazimabad No.7, Karachi.  Nazimabad , karachi",
Dr Yasmeen Mehmooda,N/A,Gynecologists,"Medics, 61-A, Jinnah Avenue, Blue Area, Islamabad/Rawalpindi   , Islamabad",
Dr Saadia Tabassum,N/A,Skin Specialists | Dermatologists,"The Aga Khan Hospital                 JHS Building - Ground Floor, Karachi.   Stadium Rd , karachi",
Dr. Ghias Un Nabi Tayyab,N/A,Gastroenterology,"Doctors Hospital                 152-G/1, Canal Bank, Johar TownLahore.  Johar Town , Lahore",
Dr Azhar,N/A,ENT Specialist,"Al-Qaim Hospital                B-Block, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Ahmad Shakeel Rizvi,N/A,ENT Specialist,"Fauji Foundation Hospital                 Badian Road, Lahore Cantt, Lahore.  Lahore Cantt , Lahore",
Dr Muhammad Amjad Noor,N/A,Urologists,"Hill Park General Hospital                Block-3, Shaheed-e-Millat Road, Karachi.Tue, Thu & Sat 4 PM-6 PM	  Federal B Area , karachi",
Dr Farah Naz,N/A,Gynecologists,"DHA Medical Centre                DHA Medical Centre, Street 10, Phase 6, DHA, Karachi.  DHA , karachi",
Dr Ajmal Hassan,N/A,Cardiologists,"Kanan Clinic 121-Shadman 1 Lahore,  Shadman , Lahore",
Dr Samina Naz,N/A,Gynecologists,"Murshid Hospital and Health Care Centre                Hub River Road, Mujahidabad, Karachi,  Mujahidabad  , karachi",
Dr Murtaza Ahsan Ansari,N/A,ENT Specialist,"Zainab Panjwani Memorial Hospital                Mohammad Ali Habib Rd, Gazdarabad, Katrak Parsi Colony, Karachi.  Gazdarabad , karachi",
Dr. Hassan Iqbal,N/A,ENT Specialist,"Al-Raheem Hospital                Nawan Shehr, Multan.  Nawan Shehr , Multan",
Dr Rehana Hameed,N/A,Gynecologists,"Ali Medical Centre                Main Markaz, Sector F - 8, Islamabad.  F-8 , Islamabad",
Dr Mohammad Aslam,N/A,Urologists,"Saifee Hospital                ST-1, Block-F, North Nazimabad, Karachi.   North Nazimabad , karachi",
Dr Asma Gul,N/A,Gynecologists,"Rasheed Hospital                Main Boulevard, Main Defence Road, Lahore.  Main Defence Road , Lahore",
Dr. Rafia Qureshi,N/A,Gynecologists,"Burhani Diagnostic Center                 Mezzanine Floor, Jaffer Plaza,Mansfield Street,Saddar,Karachi.  Saddar , karachi",
Dr Imran Ahmed,N/A,Diabetologists,"Cardex Hospital                3 - A, Jail Road, Lahore.  Jail Road , Lahore",
Dr Azher Hameed,N/A,ENT Specialist,"Bismillah Hospital                Opp Mazang Police Station, Temple Road, Mazang, Lahore  Mazang , Lahore",
Dr Farhana Raza,N/A,Gynecologists,"ORTHOPAEDIC & MEDICAL INSTITUTE (PRIVATE) LIMITED                89/1 DEPOT LINES, KARACHI.  DEPOT LINES , karachi",
Dr Shagufta Shafi,N/A,Skin Specialists | Dermatologists,"Sir Ganga Ram Hospital                Queens Road, Mazang, Lahore.  Queens Road , Lahore",
Dr NADEEM IQBAL,N/A,Diabetologists,"Diabetologist Heart Care Clinic                Unit No 2, Latifabad, Hyderabad.  Latifabad , Hyderabad",
Dr Faisal Tasleem,N/A,Urologists,"Al-Shafi Hospital                15-Gulshan Block, Main Bouleward, Allam Iqbal Town, Lahore.Daily 7 PM-9.30 PM	   Allam Iqbal Town , Lahore",
Dr. Mohammad Ali Khan,N/A,ENT Specialist,"AKHTAR EYE HOSPITAL                 FL-1 ( 4/C ), Block 5, Rashid Minhas Road. Gulshan-e-Iqbal Karachi.  Gulshan-e-Iqbal , karachi",
Dr. Alia Bashir,Consultant Gynaecologist,Gynecologists,"Doctor's Hospital                 152-G/1, Canal Bank, Johar TownLahore.  Johar Town , Lahore",
Dr. Shaista Asad,N/A,Gynecologists,"Zainab Panjwani Memorial Hospital                Mohammadali Habib Road, NumaishKarachi.  Numaish , karachi",
Dr Farrukh Zaman,N/A,Gynecologists,"Rabbani Hospital                20 - West Wood Colony, Thokar Niaz Baig, Lahore.  Thokar Niaz Baig , Lahore",
Dr Tasneem Hameed,N/A,Gynecologists,"Ittefaq Hospital Trust                Near H Block, Model Town, Lahore.  Model Town , Lahore",
Dr Prof Rana Manzoor,N/A,Skin Specialists | Dermatologists,"Al-Shafi Hospital                15-Gulshan Block, Main Bouleward, Allam Iqbal Town, Lahore.  Allam Iqbal Town , Lahore",
Dr Amir ijaz,N/A,Orthopaedics,"Ittefaq Hospital                 Near H Block, Model Town,Lahore  Model Town , Lahore",
Dr. Shumaila Mubashir,N/A,Gynecologists,"Get Well Hospital                Bela Road, G-10, Islamabad/Rawalpindi.  G-10 , Islamabad",
Dr Mohammad Yahya,N/A,Cardiologists,"Surgimed Hospital                Zafar Ali Rd, Lahore.  Zafar Ali Road  , Lahore",
Dr RAIS-UDDIN SIDDIQUE,N/A,ENT Specialist,"Doctor's Line, Saddar, Hyderabad.  Saddar , Hyderabad",
Dr Tahir H Malik,N/A,Diabetologists,"National Hospital &Medical Centre                132 / 3, L - Block, Phase 1, D.H.A, Lahore Cantt.  Lahore Cantt , Lahore",
Dr. Syeda Yasmeen Hassan,N/A,Hematologist,"Sindh Institute of Urology and Transplantation                Chand Bi Bi Road, Civil Hospital, Karachi.  Chand Bi Bi Road , karachi",
Dr Shagufta Shaheen,N/A,Gynecologists,"Zainab Panjwani Memorial Hospital                Mohammad Ali Habib Road, Numaish, Karachi.  Numaish , karachi",
Dr Tassawar Mirza Hussain,N/A,Gynecologists,"Al-Qaim Hospital                4th-B Road, Satellite Town, Islamabad/Rawalpindi.  Satelite Town , Rawalpindi",
Dr Farhat Abbas,N/A,Skin Specialists | Dermatologists,"Al-Qaim Hospital                Satellite Town, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Fauzia Haq Nawaz,N/A,Gynecologists,"AKUH Consulting Clinic, Stadium Road, karachi.    , karachi",
Dr Abdul Aziz Memon,N/A,General Surgeon,"Murshid Hospital & Health Care Centre                Hub River Road, Mujahidabad,Karachi.  Mujahidabad , karachi",
Dr SHAHID JAMIL AHMED,N/A,Skin Specialists | Dermatologists,"Khawaja Consulting Chamber, Near Jama Masjid, Saddar, Hyderabad.  Saddar , Hyderabad",
Prof. Dr. Shamsa Rizwan,Consultant Obstetrician & Gynecologist,Gynecologists,"Shifa Medical Center                 Savoy Arcade (Next to Standard Chartered Bank),F-11 Markaz, Islamabad.  F-11 Markaz , Islamabad",
Dr Hamid Zaki,N/A,Skin Specialists | Dermatologists,"Dr. Ziauddin Hospital                Block-B, North Nazimabad, Karachi.   North Nazimabad , karachi",
Dr. Muhammad Asim Anwar,N/A,Gastroenterology,"Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr. Tanwir Khaliq,N/A,General Surgeon,"Ali Hospital                ,ospital Surgery5-C, I-9 Markaz, Islamabad.   I-9 , Islamabad",
Dr M A Cheema,N/A,Cardiologists,"Surraya Azeem Hospital                5-Bahawalpur Road, Chowk Choubarji Lahore.  Choubarji  , Lahore",
Dr Hafiz M Aslam,N/A,Skin Specialists | Dermatologists,"Balauch Hospital                Allama Iqbal Road Mustafabad Saddar Lahore.  Mustafabad  , Lahore",
Dr ALTAF TALPUR,N/A,Urologists,"Saddar, Hyderabad.  Saddar , Hyderabad",
Dr Haleema Hashmi,N/A,Gynecologists,"Liaquat National Hospital                National Stadium Road,Karachi.  Stadium Road , karachi",
Dr Naheed Bano,N/A,Gynecologists,"Saidpur Road, Satelite Town, Rawalpindi.  Satelite Town , Rawalpindi",
Dr Prof Arif Ur Rehman Khan,N/A,Cardiologists,"OMI Hospital                Kiyani Shaheed Road, Gazdarabad, Karachi.  Gazdarabad , karachi",
Dr Daniyal Rashid,N/A,ENT Specialist,"Hearts International Hospital                192-A The Mall Road, Rawalpindi.  The Mall Road , Rawalpindi",
Dr Humaira Jamal,N/A,Gynecologists,"National Medical Centre                Korangi Road, Phase 1, DHA, Karachi.  DHA , karachi",
ASIF ALI IMAM,N/A,Allergy Specialist,"CC Nazerali Walji-2, Karachi.  Walji-2  , karachi",
Dr Rashida Ghaffar,N/A,Gynecologists,"Saifee Hospital                 ST-1, Block-F, North Nazimabad, Karachi.   North Nazimabad , karachi",
Dr ZAFAR S.KHAN,N/A,ENT Specialist,"Kashana-e-Aidi, Jail Road, Hirabad, Hyderabad.  Hirabad , Hyderabad",
Dr Takween Nawaz,N/A,Gynecologists,"Ali Medical Centre (PVT) Ltd                Main Markaz, Sector F - 8, Islamabad.  F-8 , Islamabad",
Dr. Aftab Ahmed Choudhary,N/A,General Surgeon,"Doctors Hospital                 152-G/1, Canal Bank, Johar TownLahore.  Johar Town , Lahore",
Dr Iffat Saleem,N/A,Gynecologists,"Fatima Memorial Hospital                Main Boulevard, Phase 2, Shadman, Lahore.  Shadman , Lahore",
Dr Zulfiqar Ali,N/A,ENT Specialist,"Kashmir Medical Centre                Near Khyber Plaza, Blue Area, Islamabad.  Blue Area , Islamabad",
Dr Parveen Irshaduddin,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Clifton Medical Services, Karachi.   Clifton , karachi",
Dr Shamsa Zafar,N/A,Gynecologists,"Private Clinic I-9, Markaz, Islamabad.  I-9 , Islamabad",
Dr Mussarat Omar,N/A,Gynecologists,"Kulsoom Nursing Hospital                 Chera Chowk, Kari Road, Sadiqabad, Rawalpindi.   Sadiqabad , Rawalpindi",
Dr Sumbul Sohail,N/A,Gynecologists,"Dr Ziauddin Hospital                  4/B, Shahrah-e-Ghalib, Block 6, Clifton, Karachi.  Clifton , karachi",
Dr Altaf Riffat,N/A,Gynecologists,"Kaleem Hospital                18 - L, Model Town Ext, Lahore.  Model Town  , Lahore",
Dr. Ali Jawad,N/A,Diabetologists,"Jinnah Hospital                Alama Shabbir Ahmed Usmani Road, Lahore.  Alama Shabbir Ahmed Usmani Road , Lahore",
Prof Dr. Haider Zaman,Chief Cardiac Surgeon,Cardiologists,"City Health Care Services (Pvt) Ltd                Peer Khursheed Colony Road, Multan.  Peer Khursheed Colony Road , Multan",
Dr Mohammad Jahangir,N/A,Skin Specialists | Dermatologists,"Kaleem Hospital                 Shalimar Link Road Lahore.   Shalimar Link Road , Lahore",
Dr Prof Mohammad Ajmal,N/A,ENT Specialist,"Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Nusrat Malik,N/A,Gynecologists,"Al-Shafi Hospital                15-Gulshan Block, Main Bouleward, Allama Iqbal Town, Lahore.Daily	7-9 PM	  Allama Iqbal Town , Lahore",
Dr Zafar Iqbal,N/A,ENT Specialist,"Al-Malik Laser Surgery                Al-Malik Laser Surgery, Central Hospital Stop, Murree Road, Saddar, Islamabad/Rawalpindi.  Saddar , Rawalpindi",
Dr Israr Ahmed,N/A,ENT Specialist,"Sarwat Anwar Medical Complex                02 - Tariq Block, New Garden Town, Lahore.  New Garden Town , Lahore",
Dr Nadeem Zuberi,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Consulting Clinic, Stadium Road, Karachi.   Stadium Road , karachi",
Dr. Haroon Rasul,N/A,Cardiologists,"Doctors Hospital                 152-G/1, Canal Bank, Johar Town, Lahore.   Johar Town , Lahore",
Dr Abdul Basit,N/A,Diabetologists,"Baqai Institute of Diabatology & Endocrinology                 51, Deh Tor, Gadap Road,Near Toll Plaza, Super Highway, Karachi.  Deh Tor , karachi",
Dr Zakir Alavi,N/A,Diabetologists,"Liaquat National Hospital                National Stadium Rd, Karachi.  Stadium Road , karachi",
Dr Mehreen Mujtaba,Associate Consultant Dermatologist,Skin Specialists | Dermatologists,"Shifa Medical Center                 Savoy Arcade (Next to Standard Chartered Bank),F-11 Markaz, Islamabad.  F-11 , Islamabad",
Dr. Shafqat Hasan,N/A,Cardiologists,"Patel Hospital                T-18, Block-4, Gulshan-e-Iqbal, Karachi.  Gulshan-e-Iqbal , karachi",
Dr Mohammad Saeed,N/A,Skin Specialists | Dermatologists,"Saira Memorial Hospital                 1 -M, Civic Centre Modal Town Ext, Lahore.  Modal Town Extension , Lahore",
Dr. Muhammad Waseem,Consultant Cardiac Surgeon,Cardiologists,"Armed Forces Institute of Cardiology                Peshawar Rd, Rawalpindi.   Peshawar Rd , Rawalpindi",
Dr. Khalid Rasheed,Cardiothoracic Surgeons,Cardiologists,"Tabba Heart Institute                Block 8, Fedral B Area, Karachi.   Fedral B  , karachi",
Dr Romana Rauf,N/A,Gynecologists,"Qureshi Medical Centre                Sector-2, Khyiaban-E Sir Syed, Islamabad.  Khyiaban-E Sir Syed , Rawalpindi",
Dr. Shamsunnisa Sadia,N/A,Gynecologists,"Maryam Memorial                 Peshawar Road, Rawalpindi.  Peshawar Road , Rawalpindi",
Dr  Tayyaba Naseer,N/A,Gynecologists,"Murshid Hospital & Health Care Centre                Hub River Road, Mujahidabad, Karachi.  Mujahidabad , karachi",
Dr. Mumtaz Rasul Malik,N/A,Gastroenterology,"Al-Hassan Surgical & Medical Center                Al-Hassan Surgical &  Near M C Office Samundri City Distt. Faisalabad.  Samundri City  , Faisalabad",
Dr Abdul Jabbar Pirzada,N/A,Urologists,"Liaquat National Hospital                National Stadium Road, Karachi.    National Stadium Road , karachi",
Dr Habiba Sharaf Ali,N/A,Gynecologists,"Ziauddin Medical University & Hospital                 North Nazimabad, Karachi.  North Nazimabad , karachi",
Dr Ayesha Khatoon,N/A,Gynecologists,"Usman Memorial Hospital                St. 12, Block-1, Federal B Area, Karachi.   Federal B Area , karachi",
Dr Afia Ansar,N/A,Gynecologists,"National Medical Centre                A-5/A, National Highway,,Near Kala Pul,, Korangi Road, Karachi  DHA  , karachi",
Dr Shamim Ahmed,N/A,Skin Specialists | Dermatologists,"Saifee Hospital                St-1, Block-F, North Nazimabad, Near Chase-up Department Store, Karachi.   North Nazimabad , karachi",
Dr Riffat Jalil,N/A,Gynecologists,"Usman Memorial Hospital                St. 12, Block-1, Federal B Area, Karachi.  Federal B Area , karachi",
Dr Arif Tajamal Khan,N/A,Gynecologists,"First Medical                934, Maulana Shaukat Ali Road, Block B, Faisal Town, Lahore.  Faisal Town , Lahore",
Dr Nighat Shah,N/A,Gynecologists,"The Aga Khan University Hospital                 AKUH Consulting Clinic 4, Stadium Road, Karachi.   , karachi",
Dr Irfan Ahmed,N/A,ENT Specialist,"Hearing Centre                 The Clinic, 965/B, Near Haidry Chowk Saidpur, Rawalpindi.  Saidpur , Rawalpindi",
Dr Jamshaid Butt,N/A,Skin Specialists | Dermatologists,"Shalimar Hospital                Shalimar Link Road, Mughalpura, Lahore.  MughalPura , Lahore",
Dr Amna Memon,N/A,Gynecologists,"Liaquat University of Medical & Health Sciences                Jamshoro, Sindh.  Jamshoro , Hyderabad",
Dr Nida Najmi,N/A,Gynecologists,"The Aga Khan University Hospital                 Consulting Clinic 4, Stadium Road, Karachi.   Stadium Road , karachi",
Dr Atif Sharif,N/A,ENT Specialist,"Al-Qaim Hospital                B-Block, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Brig.(R) Ghulam Murtaza,N/A,Skin Specialists | Dermatologists,"Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Zubaida,N/A,Gynecologists,"Memon Medical Institute and Hospital                Hyder Buksh Gabol Road, Safoora Chowrangi, K.D.A., Scheme 33, Karachi.  Safoora Chowrangi , karachi",
Dr M Atta Khan,N/A,Diabetologists,"Aga Khan University Hospital                AKUH Consulting Clinic, Stadium Road, Karachi.  Stadium Rd , karachi",
Dr Syed Qazi Muzaffar Alam,N/A,ENT Specialist,"Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Mohammad Ziauddin,N/A,Skin Specialists | Dermatologists,"Dermacare clinic lahore                144 Zafar Ali Rd, Lahore   Zafar Ali Rd , Lahore",
Dr Ghazala Aziz,N/A,Skin Specialists | Dermatologists,"National Medical Centre                 A-5/A, National Highway, Near Kala Pul,, Korangi Road, Karachi.  Korangi Road , karachi",
