name,designation,speciality,location,fee
Dr.  Waqas Mehdi,Neurosurgeon Consultant/Specialist,Neurosurgeon,"Punjab Medical Center                5 Jail Road, Lahore.  Jail Road , Lahore",
Prof. Dr. Azer Rasheed,N/A,Skin Specialists | Dermatologists,"Habib Medical Complex                , Peshawar.Mon to Fri 4.00 PM to 7.00 PM  Dabgari Garden , Peshawar",
Dr. Sameer Qureshi,N/A,ENT Specialist,"South City Hospital                 Street No. 1, Block 3, Shahrah-e-Firdousi, Clifton, Karachi.  Clifton , karachi",
Dr Badr S. Dhanani,N/A,Skin Specialists | Dermatologists,"DHA Medical Centre                 P-38 / A, 10th Street, Khayaban-e-Rahat, Street # 10, Phase-VI, DHA, Karachi.  DHA , karachi",
Muhammad Saleem Ghauri,N/A,Skin Specialists | Dermatologists,"Social Security Hospital                Madina Town,susan Road, Faisalabad.    , Faisalabad",
Dr. Fahd Khalid,N/A,Dentist,"Dental Profiles Clinic                170-B, Street 68, F-10/3, Islamabad.  F-10 , Islamabad",
Dr. Aftab Ahmed Memon,N/A,ENT Specialist,"Park Lane Hospital                 56 Old Clifton Near Shahra-e-Iran, Opposite British Deputy High Commission Clifton Karachi.  Clifton  , karachi",
Dr. Syed Fayyaz Ahmed Shah,N/A,Cardiologists,"Ahmad Medical Complex, Medicine & Cardiology Department                70-C Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Prof Dr Khalid Javed Rabbani,N/A,Urologists,"Surgimed Hospital. 1-Zafar Ali Road, Lahore.   Gulberg IV, , Lahore",
Dr Syed Mahmood ul Haq,Thoracic Surgeon,Cardiologists,"South City Hospital                 Street No. 1, Block 3, Shahrah-e-Firdousi, Clifton, Karachi.  Clifton , karachi",
Dr. Samia Amer,N/A,Radiologist,"Habibi Care & Cure Clinic                House # 26, Street # 03, Khan Avenue, Chaklala Scheme III, Rawalpindi.  Chaklala Scheme III , Rawalpindi",
Dr Shahid Aslam,N/A,Pediatricians,"Doctors Hospital & Medical Centre                152/G 1, Johar Town, Lahore.  Johar Town , Lahore",
Dr Nazli Hussain,N/A,Gynecologists,"Saifee Hospital.                ST-1, Block-F, North Nazimabad, Karachi.   North Nazimabad , karachi",
Dr. Syed Ali Naqi,N/A,ENT Specialist,"Ahmad Medical Complex                ENT Department70-C Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Professor Muhammad Mussadiq Khan,N/A,Cardiologists,"18-B, Luqman Hakeem Road, G 6/3, Islamabad.   G 6 , Islamabad",
Dr Maroof Aziz,N/A,ENT Specialist,"Mid City Hospital                 3-A Shadman II, Jail Road Opposite Kinaird College,Lahore, Punjab, Pakistan   Shadman  , Lahore",
Prof. Zubair Ahmed,N/A,ENT Specialist,"SURGIMED HOSPITAL                 ENT Clinic ((Basement)  1-Zafar Ali Road , Lahore",
Dr Javed Waseem,N/A,Skin Specialists | Dermatologists,"Skin & Laser Clinic                C-4 & 5, Adj. Aga Khan Lab, Hilal-e-Ahmer Road, Teen Talwar, Clifton, Karachi.  Clifton , karachi",
Dr Haseeb Sajjad,N/A,Skin Specialists | Dermatologists,"Lahore Skin Clinic                Canal Service Road, Gulberg 5, Lahore.  Gulberg 5 , Lahore",
Consultant Interventional Cardiologist Dr Zameer ul Asar,Care for your heart @ cardiocare clinic,Cardiologists,"Alrazi Healthcare hospital                  MM Alam Road , Lahore",
Dr. Savaid Abbas Mirza,Orthopedic Surgery Trauma & Spine Surgery,Orthopaedics,"Ahmad Medical Complex                70-C Satellite Town, Sadiqabad Road   Satellite Town , Rawalpindi",
Dr. Nadeem Ahmed Khan Niazi,N/A,Skin Specialists | Dermatologists,"Skin & Skin Clinic                 3-Chohan Plaza, Main Airport Road, Opp, Askari-10, Rawalpindi.  Askari-10 , Rawalpindi",
Dr. Umair Ahmed,N/A,Skin Specialists | Dermatologists,"Rasheeda Zafar Hospital                Behind Jan Hall, Kybane-Tanveer, Chaklala Scheme III, Rawalpindi  Chaklala Scheme III , Rawalpindi",
Prof Dr Muhammad Siddiq,"Consultant Spiritual Psychiatrist, Psychotherapist & Sexologist",Psychiatrist,"Faran Institute Of Behavioural Sciences                24-E, 21st Commercial Sreet,DHA Phase 2 Extension, near Rahat Milk Corner. Karachi.  DHA Phase 2  , karachi",
Farhan Khan,N/A,Dentist,"Smile Savers                153-A ,SMCHS ,Karachi Pk-74400   , karachi",
Dr Tayyaba Waseem,Professor of Gynecology,Gynecologists,"Mid City Hospital                3-A Shadman II, Jail Road. Opposite Kinaird College, Lahore.  Shadman  , Lahore",
Professor and Director of Non-Invasive Cardiology Dr Syed Zahid Rasheed,N/A,Cardiologists,"karachi institute of heart diseases                ST-15, Block-16, Near UBL Sports Complex, Federal B. Area, Karachi.  Federal B Area , karachi",
Majid Dastgir,N/A,ENT Specialist,"FC Hospital Quetta                nawan killi road, Quetta, Pakistan  Nawan killi road , Quetta",
Brig (R) Prof. Dr. M. Sultan Muzaffar,Thoracic Surgeon,Cardiologists,"110-Tameez-ud-Din Road.Near CMH Rawalpindi.  Tameez-ud-Din Road , Rawalpindi",
Dr Prof. Javed Akram,N/A,Medical Specialist,"Akram Medical Complex                2-B, Main Gulberg, Lahore.  Gulberg  , Lahore",
Dr Nasir Sulaiman,N/A,Urologists,"South City Hospital                 Street No. 1, Block 3, Shahrah-e-Firdousi, Clifton, Karachi.  Clifton , karachi",
Dr Tahir Kamal,N/A,Skin Specialists | Dermatologists,"Skin Life Clinic                 Link-2, Street-1, Near CSD, 26-Cavalary Ground, Lahore.  Cavalary Ground , Lahore",
Dr Naeem Iqbal,N/A,Skin Specialists | Dermatologists,"SESSI Landhi Hospital                Adamjee Road, Opp. KDA Sub-Office, Landhi, Karachi.   Landhi , karachi",
Dr. Abdus Samad,N/A,Cardiologists,"308 Clifton Center Block-5 Schon Circle, Clifton, Karachi.  Clifton , karachi",
Dr Riaz Ahmad Qamar,N/A,Skin Specialists | Dermatologists,"Skin Care Clinic                 Soldier Plaza Civil Lines Jhelum.   Civil Lines , Jhelum",
HAPPY TEETH Dental Clinic in Wah Cantt,Dentist in Wah Cantt,Dentist,"HAPPY TEETH                Post Office Road,Lala Rukh, Wah Cantt  Wah Cantt , Islamabad",Fee: Rs 300
Dr Parveen Kanji,N/A,Gynecologists,"South City Hospital                 Street No. 1, Block 3, Shahrah-e-Firdousi, Clifton, Karachi.  Clifton , karachi",
Dr. Hina Noon,N/A,Dentist,"Khurram Dental Centre                Hourse # 317, Street # 14, Chaklala Scheme III, Rawalpindi.  Chaklala Scheme III , Rawalpindi",
Dr Samina Saleem,N/A,Gynecologists,"PATEL HOSPITAL                ST-18, Block-4, Gulshan-e-Iqbal, Karachi.   Gulshan-e-Iqbal , karachi",
Dr. H. A. Khawaja,Cosmetic Plastic Surgeon & Dermatologist,Plastic & Aesthetic Surgeon,"osmetic Plastic Surgery & Skin Center                53-B/2, M.M Alam Road, Gulberg III, Lahore  Gulberg III , Lahore",
Dr. Azeem Alam Khan,N/A,Skin Specialists | Dermatologists,"Ali Medical Centre                Kohistan Road, F8 Markaz, Islamabad.   F-8 , Islamabad",
Karachi hair dermatologist Naveed,N/A,"Skin Specialists | Dermatologists,Nephrologist",N/A,N/A
Dr. Shahzad Saeed Sheikh,N/A,Ophthalmologist,"Naz Hospital                Eye Department6-Shadman Link Road, Lahore.  Shadman  , Lahore",
Dr Saadia Virk Rizvi,N/A,Gynecologists,"South City Hospital                Street 1, Block 3, Sharah-e-Firdous, Clifton, Karachi.  Clifton , karachi",
Dr Umar Kaleem,N/A,Medical Specialist,N/A,N/A
Dr Sara Ejaz,N/A,Gynecologists,"Fatima Memorial Hospital                4 Mozang Road, Lahore.  Mozang  , Lahore",
Prof. Zaman Shaikh,N/A,Diabetologists,"South City Hospital                Shahrah-e-Firdousi, Block 3, Clifton, Karachi.  Clifton , karachi",
Dr. Khawar Sultan,N/A,Nephrology,"Savul international medical complex                G 11 markaz islamabad  G 11 , Islamabad",Fee: Rs 500
Dr. Hafeezullah Shaikh,N/A,"Gastroenterology, Hepatology","Zubaida Medical Centre, Old dhoraji                ZUBAIDA MEDICAL CENTREC.P.& Barar Society Amir Khusro Rd.Dhoraji Colony, Karachi 74800, Sindh, PakistanPhone: 9221-3493391 / 4938241 / 4938247   , karachi",Fee: Rs 400
Dr. Amjad Hussain,N/A,Consultant Homeopathic Physician,"Sunny Homeopathic Clinic                P-19   , Faisalabad",Fee: Rs 500
Dr. Muhammad Rafique,N/A,Paediatrician,"Hameedah Memorial Hospital                D block Lahore  Valencia Town , Lahore",Fee: Rs 1500
Dr. Muhammad Irfan Sheikh,N/A,Audiologist,"Niazi Medical Tower                Khoshab Road.   , Sargodha",Fee: Rs 500
Dr. Naimatullah,N/A,Physiotherapist,"KKT International Orthopedic Spine Center                200 Block Y, DHA, Phase III, Lahore.  DHA , Lahore",Fee: Rs 1500
Dr. Sahibzada mahmood Noor,N/A,dermatology laser therapy and aesthetics,"Skin Care Clinic                Abasin Hospital   , Peshawar",Fee: Rs 1000
Dr. Zeeshan kamil,N/A,ophthalmology,"Zubi Eye Clinic                 Dundass street, off Zaibunnisa street   saddar  ,",Fee: Rs 700
Breg (R) Dr. Muhammad Iqbal,N/A,Gastroenrologist/Hepatologist,"3410114806547                  Peshar more, Quaid e azam Internation Hospital , Islamabad",Fee: Rs 1500
Dr. Asifa Iqbal,N/A,Dentist,"Oral & Maxillofacial Surgery centre                106 Habitat Flats Opposite Kinnaird College.  Jail Road Shadman  , Lahore",Fee: Rs 1000
Dr. Umtal batool,N/A,Gynae & obs,"Care clinic                  13 M block phase 1  DHA , Lahore",Fee: Rs 1000
Dr. Uzair Ahmed Qazi,Best Plastic & Aesthetic Surgeon,"Plastic, Cosmetic & Reconstructive Surgeon","Ali Medical Centre                 Ayub Market Islamabad  F-8 Markaz , Islamabad",Fee: Rs 1200
Dr. Nasir Habib,N/A,General Medicine,"Khayaban Medical Centre                160 A , main road Khayaban e Sirsyed , near Qasr e shireen  Khayaban e SirSyed , Islamabad",Fee: Rs 600
Dr. Muhammd Arif,N/A,Medical Oncology,"Doctors Hospital                 152-G/1 canal bank,johar town   , Lahore",Fee: Rs 3000
Dr Safia Munir,N/A,Gynecologists,"Good Hope Infertility Clinic                Link Tufail Road, (In between Saddar Roundabout & Shalimar (Mughalpura) Flyover),Lahore Cantt.  Lahore Cantt , Lahore",
Dr. Abdul Basit,N/A,Orthopaedics,"Ali Medical Centre                  F8 Markaz , Islamabad",
Dr. Madiha Adnan,N/A,Dentist,"Syed Dental Clinic                Plot.231-232, Shop#. 5, Afridi Plaza, Hub Commercial, Abu Bakar Avenue. Near Bahria Head office and Rukhsana Memorial Hospital.  Bahria Town Phase - VIII , Rawalpindi",Fee: Rs 500
Assistant Professor  Dr Khairunnisa Mukhtiar,N/A,Pediatric Neurologist,"Liaquat National Hospital, Karachi, Pakistan.                University Road, Karachi  University Road , karachi",
Dr. Bilal Akram,N/A,ENT Specialist,"PAF Hospital Faisal                Faisal base  Shahrah-e-Faisal , karachi",Fee: Rs 500
Dr.Syed Arif Hussain,N/A,Dermatologist & Cosmetic Surgeon,"Aesthetic Shapes                56 Old Clifton, Parklane Hospital, Karachi, Pakistan  56 Old Clifton , karachi",Fee: Rs 10000
Dr. Sadaf Iftikhar,N/A,Skin Specialists | Dermatologists,"Aesthetics Cosmetic Centre                42/A, C/1 Gulberg III   , Lahore",Fee: Rs 10000
Dr. Mohammad Akram,N/A,Cardiologists,"Kalsum International Hospital                 Kalsum International Hospital   Blue Area , Islamabad",Fee: Rs 1500
Dr. ABDUL SATTAR SHAIKH,N/A,Cardiologist,"Pediatric Cardiology                NICVD hospital...  Ziaudin Clifton....NMC medical center... Liaquat national hospital  Clifton  , karachi",Fee: Rs 1000
Dr. Amber Usman,Let Your Skin Confidence Shine,Skin Specialists | Dermatologists,"Hilal-e-Ahmer                Dr. Amber UsmanCosmederm Skin ClinicHilal-e-Ahmer Sind Medical Centre3 TalwarCliftonKarachiPakistan  Clifton , karachi",
eye surgron DR KHALID BHAMBHA,N/A,Ophthalmologist,"hospital                ahmed general hospital kathiawar medical center tipu sultan road   ad , karachi",
Dr Raza Akram,N/A,Weight Loss Surgeon,"Fatima Memorial Hospital                 Shadman, Lahore, Pakistan.  Shadman  , Lahore",
Dr. Muhammad Arshid,N/A,Physiotherapist,"BMI Poly Clinics Clifton                St-32 A, Rojhan Street, Kehkashan, Block-5, Clifton  Clifton , karachi",Fee: Rs 700
Dr. Salim Ullah Khan,N/A,General Practitioner,"Shifa Clinic                Street 13, G-11/1  G-11 , Islamabad",Fee: Rs 1000
Dr. Ali,N/A,Skin Specialists | Dermatologists,"Ibrahim                office#12, G-11 Markaz  G-11 , Islamabad",Fee: Rs 1000
Dr. Mumtaz Hussain Malik,N/A,Homeopathic Doctor,"Al-Nawaz Memorial Homeo Clinic                Main  Road Sargodha Sahiwal  Main  Road Sargodha Sahiwal , Sahiwal",Fee: Rs 200
Dr. Muhammad Adnan,N/A,,"MMC General Hospital                MMC General Hospital, dalazak chock ring road peshawar   , Peshawar",Fee: Rs 500
Dr. Syed Muhammad Junaid AKhtar,N/A,Diabetologist,"The Diabetes Buster Medics                   , karachi",Fee: Rs 750
Dr. Prof Brig(R) Falak Sher Khan Bhatti,N/A,Gastroenterology,"HOPE Clinic Peshawar Road,near Race Course Ground                HOPE Clinic  Adjacent to Race Course Ground Peshawar Road  Peshawar Road  , Rawalpindi",Fee: Rs 1000
Dr. Sharif Ullah Jan,Consultant Cardiothoracic Surgery,"Cardiologists,Thoracic Surgeon","H No 16, Street No 2, Sector J-3, Phase-II, Hayatabad, Peshawar.  Hayatabad , Peshawar",
Dr. RIAZ AHMAD,N/A,"Intensive Care, chest & medical specialist","WAPDA HOSPITAL                  TOPI ROYAL MEDICAL/HAMZA HOSPITAL GHAZI , Tarbela",Fee: Rs 500
Dr. Farhan Amsari,N/A,Child Specialist,"Maroof International Hospital                Feral Capital Area, Pakistan   F-10 Markaz , Islamabad",Fee: Rs 1500
Dr.Khusro Sultana,N/A,Gynecologists,"HILL PARK GENRAL HOSPITAL                SHAHEED E MILLAT ROAD,KARACHI.  SHAHEED E MILLAT ROAD , karachi",
Dr. Ahsan Riaz,N/A,"Hair Transplant,Cosmetic & Plastic Surgeon","Plasthetics                22-G Johar Town,Lahore   , Lahore",Fee: Rs 1500
